date,open,close,high,low
1992-03-27,8.5,11.85,12.8,8.5
1992-03-30,11.9,11.8,12.0,11.4
1992-03-31,11.65,12.9,12.9,11.65
1992-04-01,13.0,13.3,13.6,12.7
1992-04-02,13.45,13.5,13.8,13.4
1992-04-03,13.5,13.0,13.6,12.6
1992-04-06,13.1,13.4,13.4,12.6
1992-04-07,13.5,13.8,14.0,13.3
1992-04-08,13.7,13.65,13.8,13.4
1992-04-09,13.75,14.0,14.1,13.4
1992-04-10,14.15,15.0,15.0,14.0
1992-04-13,15.15,16.9,17.5,15.1
1992-04-14,16.9,17.25,18.0,16.55
1992-04-15,17.0,15.45,17.2,14.8
1992-04-16,15.5,16.45,16.5,15.5
1992-04-17,16.5,16.0,16.5,15.8
1992-04-20,16.15,15.55,16.2,15.0
1992-04-21,15.4,15.55,15.7,15.0
1992-04-22,15.6,16.35,16.5,15.45
1992-04-23,16.5,17.2,17.2,16.5
1992-04-24,17.35,17.1,17.4,16.8
1992-04-27,17.1,16.5,17.1,16.4
1992-04-28,16.5,16.75,16.8,16.3
1992-04-29,16.8,17.0,17.0,16.65
1992-04-30,17.15,17.3,17.5,16.8
1992-05-03,17.45,18.15,18.3,17.45
1992-05-04,18.2,18.15,18.5,18.1
1992-05-05,18.3,18.6,18.65,17.8
1992-05-06,18.75,20.2,20.2,18.75
1992-05-07,20.05,18.65,20.05,18.45
1992-05-08,19.0,18.8,19.95,18.7
1992-05-11,18.95,19.5,19.5,18.8
1992-05-12,19.65,21.25,21.5,19.65
1992-05-13,21.4,21.45,22.0,21.3
1992-05-14,21.5,21.6,21.7,20.5
1992-05-15,21.75,22.3,22.4,21.3
1992-05-18,22.3,23.0,23.5,22.0
1992-05-19,23.15,24.6,24.7,23.15
1992-05-20,24.75,24.8,24.8,24.7
1992-05-21,24.95,25.4,25.8,23.5
1992-05-22,25.55,25.6,26.3,25.0
1992-05-25,25.75,25.9,26.2,24.8
1992-05-26,26.05,27.05,27.25,26.05
1992-05-27,26.9,27.0,27.9,26.7
1992-05-28,27.1,26.65,27.1,26.3
1992-05-29,27.35,26.8,27.37,26.0
1992-06-01,27.0,26.55,27.3,25.6
1992-06-02,26.7,25.7,26.7,25.4
1992-06-03,25.85,23.5,25.85,23.15
1992-06-04,23.5,24.3,24.8,23.5
1992-06-05,24.45,24.1,25.2,23.5
1992-06-08,24.25,23.0,24.25,22.35
1992-06-09,23.0,21.8,23.3,21.5
1992-06-10,22.0,22.3,22.7,20.5
1992-06-11,22.45,21.9,22.5,21.5
1992-06-12,21.75,22.0,22.2,21.5
1992-06-15,22.15,20.7,22.3,20.5
1992-06-16,20.55,19.2,20.55,19.0
1992-06-17,19.05,21.7,22.0,18.0
1992-06-18,21.85,21.0,23.05,20.35
1992-06-19,20.85,21.0,21.4,19.8
1992-06-22,20.85,19.75,20.85,19.5
1992-06-23,19.7,20.5,20.5,19.15
1992-06-24,20.65,20.3,21.0,19.8
1992-06-25,20.2,20.7,20.8,20.15
1992-06-26,20.85,21.6,21.8,20.7
1992-06-29,21.75,23.7,24.0,21.75
1992-06-30,23.85,24.55,24.6,23.85
1992-07-01,24.7,23.5,24.75,23.0
1992-07-02,23.2,23.2,23.5,22.0
1992-07-03,23.05,23.9,24.0,22.9
1992-07-06,23.75,23.2,24.5,22.9
1992-07-07,23.05,23.55,23.9,22.8
1992-07-08,23.55,23.65,23.8,23.3
1992-07-09,23.5,23.2,23.55,23.0
1992-07-10,23.05,23.15,23.2,22.55
1992-07-13,23.2,23.6,23.7,22.8
1992-07-14,23.75,23.9,24.3,23.7
1992-07-15,23.8,23.6,23.8,23.4
1992-07-16,23.7,24.0,24.0,23.1
1992-07-17,24.0,24.7,24.7,23.85
1992-07-20,24.85,25.8,26.0,24.85
1992-07-21,25.95,25.4,26.15,25.3
1992-07-22,25.3,25.45,25.6,25.1
1992-07-23,25.6,26.0,26.1,25.3
1992-07-24,26.0,26.45,26.45,25.9
1992-07-27,26.6,27.0,27.35,26.45
1992-07-28,27.15,26.0,27.15,25.8
1992-07-29,25.85,26.5,26.6,25.85
1992-07-30,26.35,26.65,26.7,26.2
1992-07-31,26.8,25.9,26.8,25.8
1992-08-03,25.75,24.7,25.75,24.5
1992-08-04,24.7,25.65,26.1,24.3
1992-08-05,25.6,25.5,25.8,25.3
1992-08-06,25.5,25.4,25.6,25.25
1992-08-07,25.3,26.2,26.5,25.0
1992-08-10,26.35,27.0,27.5,26.35
1992-08-11,26.85,25.8,26.85,24.8
1992-08-12,25.95,25.4,26.1,25.2
1992-08-13,25.4,24.3,25.4,24.3
1992-08-14,24.15,25.4,25.5,24.15
1992-08-17,25.55,25.9,26.9,25.55
1992-08-18,26.0,25.4,26.0,25.3
1992-08-19,25.4,25.25,25.65,25.2
1992-08-20,25.25,25.2,25.5,25.0
1992-08-21,25.2,24.7,25.3,24.5
1992-08-24,24.55,24.3,24.7,24.0
1992-08-25,24.15,23.6,24.15,23.4
1992-08-26,23.45,24.2,24.6,23.3
1992-08-27,24.35,24.4,24.7,24.0
1992-08-28,24.4,24.4,24.6,24.1
1992-08-31,24.5,23.7,24.5,23.4
1992-09-01,23.55,23.0,23.7,22.8
1992-09-02,22.85,23.6,23.6,22.5
1992-09-03,23.75,23.3,23.8,23.0
1992-09-04,23.0,22.1,23.05,22.0
1992-09-07,22.0,20.2,22.0,20.2
1992-09-08,20.05,22.6,22.8,19.7
1992-09-09,22.75,23.2,23.2,21.95
1992-09-10,23.35,23.15,23.6,22.7
1992-09-11,23.0,22.9,23.0,22.5
1992-09-14,23.0,22.5,23.5,22.5
1992-09-15,22.4,22.15,22.5,22.0
1992-09-16,22.0,22.4,22.5,22.0
1992-09-17,22.5,22.9,23.0,22.45
1992-09-18,23.0,22.7,23.0,22.6
1992-09-21,22.7,22.3,22.7,22.3
1992-09-22,22.15,22.0,22.5,22.0
1992-09-23,22.0,22.3,22.5,22.0
1992-09-24,22.45,23.0,23.0,22.4
1992-09-25,23.15,22.4,23.5,22.3
1992-09-28,22.4,23.1,23.5,22.4
1992-09-29,23.1,23.5,23.5,23.1
1992-09-30,23.5,23.4,23.6,22.9
1992-10-04,23.5,23.7,23.95,23.5
1992-10-05,23.8,23.3,23.8,23.3
1992-10-06,23.15,22.9,23.45,22.9
1992-10-07,22.8,23.1,23.1,22.8
1992-10-08,23.3,23.1,23.3,23.0
1992-10-09,23.1,23.35,23.35,23.0
1992-10-12,23.5,23.4,24.2,23.4
1992-10-13,23.5,23.2,23.5,23.0
1992-10-14,23.25,22.4,23.25,22.4
1992-10-15,22.2,22.7,23.0,22.0
1992-10-16,22.7,22.6,23.0,22.6
1992-10-19,22.4,21.4,22.4,21.2
1992-10-20,22.3,21.7,22.5,21.35
1992-10-21,21.7,21.0,21.7,20.75
1992-10-22,20.9,20.5,21.0,20.0
1992-10-23,20.65,20.05,20.7,20.0
1992-10-26,19.7,18.0,19.7,16.65
1992-10-27,18.0,17.4,18.5,17.0
1992-10-28,17.3,17.65,17.7,16.8
1992-10-29,17.8,18.65,18.9,17.5
1992-10-30,18.8,19.3,19.45,18.8
1992-11-02,19.45,17.8,19.45,17.5
1992-11-03,17.65,18.4,18.4,16.8
1992-11-04,18.4,17.9,18.4,17.5
1992-11-05,17.7,17.7,18.0,17.6
1992-11-06,17.55,17.5,17.8,17.5
1992-11-09,17.35,17.1,17.55,16.8
1992-11-10,16.95,17.0,17.7,16.8
1992-11-11,16.85,16.55,16.9,16.35
1992-11-12,16.7,15.9,16.9,15.5
1992-11-13,15.75,15.0,15.75,14.6
1992-11-16,15.0,13.35,15.0,13.2
1992-11-17,13.2,12.95,13.7,12.0
1992-11-18,13.0,14.0,14.8,12.8
1992-11-19,14.0,14.25,14.5,13.7
1992-11-20,14.4,13.25,14.45,12.9
1992-11-23,13.1,12.75,13.1,12.0
1992-11-24,12.7,13.4,13.4,12.6
1992-11-25,13.55,13.9,13.9,13.0
1992-11-26,14.05,16.0,16.2,14.05
1992-11-27,16.15,16.0,16.15,14.8
1992-11-30,16.0,18.0,18.25,16.0
1992-12-01,17.85,19.0,19.0,17.0
1992-12-02,19.15,18.3,19.4,17.75
1992-12-03,18.4,17.8,18.6,17.6
1992-12-04,17.65,19.0,19.0,17.4
1992-12-07,19.2,20.55,20.75,19.2
1992-12-08,16.8,16.4,16.9,16.4
1992-12-09,20.0,19.3,20.1,18.8
1992-12-10,19.15,18.6,19.15,17.95
1992-12-11,18.75,19.1,20.1,18.65
1992-12-14,19.25,18.75,19.35,18.7
1992-12-15,15.2,15.0,15.5,14.7
1992-12-16,18.0,18.9,19.0,17.7
1992-12-17,19.0,18.7,19.2,18.6
1992-12-18,18.6,19.25,19.3,18.6
1992-12-21,19.4,19.85,20.0,18.8
1992-12-22,20.0,19.6,20.35,19.4
1992-12-23,19.3,19.45,19.8,19.2
